serial,thread,speedup,nthreads
412.466,171.297,2.41,5
355.807,112.975,3.15,6
436.129,133.430,3.27,7
345.882,89.988,3.84,8
357.334,87.297,4.09,9
346.065,74.378,4.65,10
437.389,89.237,4.90,11
360.530,65.745,5.48,12
323.601,56.975,5.68,13
437.063,69.579,6.28,14
346.328,58.062,5.96,15
429.793,73.044,5.88,16
325.463,55.824,5.83,17
404.718,66.361,6.10,18
361.351,60.273,6.00,19
360.839,61.291,5.89,20
435.977,70.901,6.15,21
348.469,57.389,6.07,22
349.501,51.025,6.85,23
430.967,65.687,6.56,24
365.159,54.991,6.64,25
362.987,52.872,6.87,26
360.101,53.572,6.72,27
436.431,63.527,6.87,28
356.727,56.452,6.32,29
353.042,53.224,6.63,30
355.182,55.927,6.35,31
334.559,48.284,6.93,32
335.502,336.024,1.00,1
435.905,218.397,2.00,2
350.565,215.347,1.63,3
358.483,149.736,2.39,4
349.787,145.718,2.40,5
435.862,138.060,3.16,6
349.150,107.143,3.26,7
429.896,111.734,3.85,8
344.945,84.379,4.09,9
437.127,93.472,4.68,10
348.659,71.624,4.87,11
361.227,66.036,5.47,12
319.847,56.618,5.65,13
348.602,55.883,6.24,14
347.707,55.886,6.22,15
407.205,63.709,6.39,16
358.706,61.820,5.80,17
401.194,71.101,5.64,18
361.194,61.503,5.87,19
360.036,59.528,6.05,20
356.291,55.724,6.39,21
360.714,56.457,6.39,22
354.375,53.889,6.58,23
363.911,55.922,6.51,24
351.201,53.565,6.56,25
360.993,54.744,6.59,26
327.082,50.547,6.47,27
402.243,60.866,6.61,28
348.131,52.642,6.61,29
355.706,52.288,6.80,30
421.152,63.701,6.61,31
348.617,53.825,6.48,32
346.874,350.022,0.99,1
434.877,218.036,1.99,2
379.300,234.819,1.62,3
361.335,148.638,2.43,4
349.587,145.636,2.40,5
430.585,137.925,3.12,6
329.069,101.275,3.25,7
430.329,113.476,3.79,8
350.363,85.696,4.09,9
432.273,92.616,4.67,10
361.758,73.470,4.92,11
357.308,66.190,5.40,12
353.186,62.044,5.69,13
326.422,52.174,6.26,14
355.548,57.176,6.22,15
322.436,52.090,6.19,16
354.009,59.978,5.90,17
347.316,59.761,5.81,18
357.147,62.928,5.68,19
351.202,56.966,6.17,20
347.412,57.086,6.09,21
349.302,52.397,6.67,22
399.993,60.979,6.56,23
319.100,49.060,6.50,24
353.752,53.378,6.63,25
346.568,52.709,6.58,26
346.897,53.447,6.49,27
348.975,53.817,6.48,28
400.566,60.745,6.59,29
346.330,52.031,6.66,30
352.440,52.713,6.69,31
367.728,55.586,6.62,32
348.324,350.256,0.99,1
434.776,218.628,1.99,2
328.078,202.093,1.62,3
358.791,149.721,2.40,4
353.637,147.765,2.39,5
398.642,128.028,3.11,6
356.337,109.675,3.25,7
436.636,112.036,3.90,8
370.447,89.998,4.12,9
431.791,92.543,4.67,10
436.418,88.241,4.95,11
345.978,64.037,5.40,12
349.216,61.540,5.67,13
348.984,55.883,6.24,14
326.695,52.580,6.21,15
360.993,58.328,6.19,16
437.073,73.200,5.97,17
361.338,63.260,5.71,18
341.163,58.470,5.83,19
347.772,54.324,6.40,20
327.953,51.527,6.36,21
347.086,55.000,6.31,22
360.741,53.997,6.68,23
347.186,52.695,6.59,24
431.939,66.284,6.52,25
361.211,52.233,6.92,26
346.404,53.227,6.51,27
349.224,53.278,6.55,28
361.123,52.405,6.89,29
356.197,53.074,6.71,30
351.255,55.837,6.29,31
403.340,63.039,6.40,32
436.909,436.854,1.00,1
350.108,176.831,1.98,2
435.909,267.452,1.63,3
349.138,144.282,2.42,4
434.449,181.032,2.40,5
355.385,112.938,3.15,6
437.064,133.574,3.27,7
348.499,90.642,3.84,8
356.462,87.556,4.07,9
346.345,75.014,4.62,10
430.483,89.062,4.83,11
360.857,65.873,5.48,12
350.936,61.936,5.67,13
324.263,51.866,6.25,14
326.428,52.100,6.27,15
357.830,58.629,6.10,16
346.603,57.137,6.07,17
347.115,62.688,5.54,18
357.374,62.756,5.69,19
361.538,60.814,5.94,20
381.713,59.310,6.44,21
360.972,56.539,6.38,22
324.800,51.545,6.30,23
327.804,49.659,6.60,24
356.830,55.510,6.43,25
357.690,54.711,6.54,26
359.654,54.957,6.54,27
382.804,58.251,6.57,28
351.927,50.734,6.94,29
351.150,51.916,6.76,30
361.078,52.484,6.88,31
346.763,51.775,6.70,32
326.584,327.290,1.00,1
379.502,190.524,1.99,2
347.073,215.954,1.61,3
360.850,148.286,2.43,4
326.299,136.155,2.40,5
393.798,126.561,3.11,6
349.636,107.348,3.26,7
431.689,111.949,3.86,8
347.303,84.856,4.09,9
430.637,92.571,4.65,10
346.738,71.552,4.85,11
437.950,79.949,5.48,12
437.454,76.311,5.73,13
346.607,55.755,6.22,14
346.648,55.765,6.22,15
361.080,58.678,6.15,16
353.542,61.331,5.76,17
361.187,60.962,5.92,18
322.480,52.462,6.15,19
359.706,61.452,5.85,20
354.977,59.056,6.01,21
355.423,55.003,6.46,22
353.617,54.648,6.47,23
351.897,53.490,6.58,24
348.876,54.145,6.44,25
349.219,53.771,6.49,26
361.199,54.396,6.64,27
348.427,52.430,6.65,28
349.178,52.024,6.71,29
361.018,54.372,6.64,30
346.515,53.925,6.43,31
346.944,52.848,6.56,32
408.269,408.303,1.00,1
348.550,176.114,1.98,2
435.363,267.109,1.63,3
351.147,145.961,2.41,4
434.564,181.774,2.39,5
347.432,110.952,3.13,6
433.350,133.220,3.25,7
349.483,90.414,3.87,8
436.652,105.987,4.12,9
365.121,77.540,4.71,10
434.271,88.899,4.88,11
357.329,66.389,5.38,12
359.096,62.999,5.70,13
355.283,57.039,6.23,14
400.725,64.267,6.24,15
372.885,68.495,5.44,16
437.914,75.645,5.79,17
352.157,62.939,5.60,18
399.949,63.944,6.25,19
347.181,56.612,6.13,20
356.016,58.427,6.09,21
435.752,68.782,6.34,22
330.622,48.630,6.80,23
347.312,56.192,6.18,24
355.742,54.493,6.53,25
349.697,55.946,6.25,26
349.226,52.553,6.65,27
381.277,56.620,6.73,28
361.638,52.992,6.82,29
385.335,59.029,6.53,30
348.038,51.347,6.78,31
356.593,57.992,6.15,32
346.876,350.337,0.99,1
372.733,187.191,1.99,2
375.909,230.912,1.63,3
416.106,174.335,2.39,4
364.386,151.338,2.41,5
398.342,129.069,3.09,6
359.187,110.450,3.25,7
415.160,108.802,3.82,8
357.672,86.751,4.12,9
403.319,86.640,4.66,10
355.335,72.759,4.88,11
354.745,64.964,5.46,12
356.403,63.075,5.65,13
328.341,52.965,6.20,14
361.281,58.971,6.13,15
319.383,50.580,6.31,16
