# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cpu/mem-loads,ldlat=30/P'
# Total weight : 331385
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access             Symbol                                 Shared Object          Data Symbol                                Data Object              Snoop         TLB access              Locked  Blocked     Local INSTR Latency
# ........  ............  ............  ........................  .....................................  .....................  .........................................  .......................  ............  ......................  ......  ..........  ...................
#
     0.05%             3  52            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x28                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.05%             3  52            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.05%             4  39            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171bf66ea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.05%             4  39            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171c767ea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.05%             1  154           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.05%             1  153           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.05%             1  153           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.05%             3  51            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.05%             4  38            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171d769ea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.05%             4  38            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171df6aea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.05%             4  38            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171e76bea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.05%             3  50            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             1  145           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             3  48            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             3  48            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x10                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             3  48            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             1  142           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             1  141           L3 or L3 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             1  141           L3 or L3 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               HitM          L1 or L2 hit            No       N/A        0                  
     0.04%             1  139           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             1  138           LFB/MAB or LFB/MAB hit    [k] pick_next_task_fair                [kernel.vmlinux]       [k] 0xffff95522dcf3210                     [unknown]                None          L1 or L2 hit            No       N/A        0                  
     0.04%             1  138           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             3  46            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171bf66ea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.04%             3  46            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171ef6cea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.04%             3  46            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x10                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             1  137           L3 or L3 hit              [k] kmem_cache_free                    [kernel.vmlinux]       [k] 0xffff954f0447b8d0                     [unknown]                None          L2 miss                 No       N/A        0                  
     0.04%             1  136           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             1  135           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             3  45            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x28                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             1  134           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             1  133           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             1  132           L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             1  132           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             3  44            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             1  131           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             1  129           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             3  43            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             4  32            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171ef6cea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.04%             1  126           L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             2  63            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x8                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             2  63            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             3  42            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x30                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             3  42            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x8                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             3  42            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             1  125           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             2  62            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             3  41            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x28                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             1  122           L1 or L1 hit              [k] mutex_lock                         [kernel.vmlinux]       [k] 0xffff954f06dfd020                     [unknown]                None          L2 miss                 Yes      N/A        0                  
     0.04%             1  122           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             2  61            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             2  61            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x28                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             1  121           L1 or L1 hit              [.] evutil_gettime_monotonic_          libevent-2.1.so.7.0.1  [.] 0x00007ff329978888                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.04%             1  121           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             2  60            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             3  40            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171cf68ea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.04%             3  40            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171e76bea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.04%             3  40            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171f76dea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.04%             1  118           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             2  59            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             2  59            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             1  117           L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             1  117           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             1  116           L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.04%             1  116           LFB/MAB or LFB/MAB hit    [k] update_process_times               [kernel.vmlinux]       [k] jiffies_64+0x0                         [kernel.vmlinux].data    None          L1 or L2 hit            No       N/A        0                  
     0.04%             2  58            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             3  38            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171f76dea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.03%             1  112           LFB/MAB or LFB/MAB hit    [k] cgroup_rstat_updated               [kernel.vmlinux]       [k] 0xffff955077fa40c0                     [unknown]                None          L1 or L2 hit            No       N/A        0                  
     0.03%             1  112           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  56            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  56            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x8                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  56            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  56            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             1  111           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             3  37            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171bf66ea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  55            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x8                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  55            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x10                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  55            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x28                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  55            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x30                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  55            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x8                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  54            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x28                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  54            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             1  107           L3 or L3 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               HitM          L1 or L2 hit            No       N/A        0                  
     0.03%             2  53            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  53            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x10                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             1  105           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x8                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  52            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  52            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x8                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  52            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  52            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x28                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             1  103           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  51            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171e76bea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  51            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x8                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  51            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x30                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             1  101           L3 or L3 hit              [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               HitM          L1 or L2 hit            No       N/A        0                  
     0.03%             1  100           LFB/MAB or LFB/MAB hit    [k] psi_group_change                   [kernel.vmlinux]       [k] 0xffff95522dce1404                     [unknown]                None          L1 or L2 hit            No       N/A        0                  
     0.03%             1  100           L3 or L3 hit              [k] psi_task_switch                    [kernel.vmlinux]       [k] 0xffff95522dca1415                     [unknown]                HitM          L1 or L2 hit            No       N/A        0                  
     0.03%             2  50            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x8                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  50            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  50            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x28                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  50            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x30                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  50            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  50            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             3  33            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171bf66ea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  49            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  49            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x8                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             1  97            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x10                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             1  97            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             3  32            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171cf68ea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.03%             3  32            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171e76bea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.03%             3  32            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171f76dea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  47            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171d769ea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  47            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             1  93            LFB/MAB or LFB/MAB hit    [k] enqueue_task_fair                  [kernel.vmlinux]       [k] 0xffff954f0026806c                     [unknown]                None          L1 or L2 hit            No       N/A        0                  
     0.03%             1  93            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             1  92            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  46            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171f76dea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  46            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             1  90            L3 or L3 hit              [k] ktime_get                          [kernel.vmlinux]       [k] tk_core+0x0                            [kernel.vmlinux].bss     None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  45            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171ef6cea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  44            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x30                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             1  86            LFB/MAB or LFB/MAB hit    [k] psi_group_change                   [kernel.vmlinux]       [k] 0xffffd3ee3fd6514c                     [unknown]                None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  43            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171df6aea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  43            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x8                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  43            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  42            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171c767ea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  42            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171d769ea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.03%             2  42            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171df6aea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.02%             1  82            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.02%             2  41            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x8                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.02%             2  41            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x30                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.02%             1  80            L3 or L3 hit              [k] __handle_mm_fault                  [kernel.vmlinux]       [k] 0xffff954f06ded4b8                     [unknown]                Hit           L1 or L2 hit            No       N/A        0                  
     0.02%             2  40            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171bf66ea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.02%             2  40            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171d769ea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.02%             2  40            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x8                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.02%             2  39            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171cf68ea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.02%             2  39            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171e76bea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.02%             2  39            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171f76dea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.02%             1  77            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.02%             1  76            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.02%             1  76            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.02%             1  76            L3 or L3 hit              [k] tick_nohz_next_event               [kernel.vmlinux]       [k] jiffies_seq+0x0                        [kernel.vmlinux].data    None          L1 or L2 hit            No       N/A        0                  
     0.02%             2  38            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171ef6cea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.02%             1  75            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.02%             1  74            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.02%             1  73            L1 or L1 hit              [k] 0x0000000000026649                 [ext4]                 [k] 0xffff954f09f83e30                     [unknown]                None          L1 or L2 hit            Yes      N/A        0                  
     0.02%             1  72            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x10                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.02%             2  36            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171df6aea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.02%             2  36            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171f76dea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.02%             1  71            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.02%             1  69            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.02%             1  69            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.02%             1  69            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.02%             1  68            L1 or L1 hit              [k] _raw_spin_lock                     [kernel.vmlinux]       [k] 0xffff95522dc33100                     [unknown]                None          L1 or L2 hit            Yes      N/A        0                  
     0.02%             1  67            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.02%             1  67            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.02%             1  66            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.02%             1  66            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.02%             1  65            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.02%             2  32            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171c767ea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.02%             2  32            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171df6aea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.02%             1  63            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.02%             1  63            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x10                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.02%             1  63            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x28                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.02%             1  63            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x30                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.02%             1  63            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
